id,name,language,functions,functions_with_kw,keywords/globals.json,keywords/builtins.json,keywords/global.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json,parse_error
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/setuptools/command/egg_info.py,python,52,0,0,0,0,0,0,0,none
405153059,tot_projects/0/405153059-2ccc80789143d7361a14735d5884830688a4e4b4/microsoft-building-damage-assessment-cnn-siamese-2ccc807/train/train.py,python,16,1,0,0,1,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/passlib/pwd.py,python,29,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/sqlalchemy/dialects/oracle/provision.py,python,8,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/six.py,python,62,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/virtualenv/create/via_global_ref/api.py,python,11,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/doctest.py,python,97,4,1,0,3,0,0,0,none
133431126,tot_projects/0/133431126-cc270113da3f429cebdbe806aa665c1a47ccf0c1/charlesq34-pointnet-autoencoder-cc27011/train.py,python,7,1,0,0,1,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/asyncio/tasks.py,python,39,2,0,0,0,0,0,2,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/setuptools/command/bdist_egg.py,python,23,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/psutil/_pswindows.py,python,80,2,0,0,2,0,0,0,none
371602227,tot_projects/0/371602227-f707235c1f9236a86da44b45a06f2e9d7d094ed4/JaideepPrasad-Data-Science-f707235/Deep Learning/ASL Translator/app.py,python,6,0,0,0,0,0,0,0,none
770928505,tot_projects/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_internal/commands/freeze.py,python,2,0,0,0,0,0,0,0,none
707007935,tot_projects/0/707007935-41883daa0af4cbca591c985721c84a0f00bc00e1/daixd5520-LLM-benchmark-41883da/LLaMA2-7B-chat/example_chat_completion.py,python,1,1,0,0,1,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/simplejson/encoder.py,python,10,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/sqlalchemy/orm/session.py,python,95,0,0,0,0,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/idlelib/autocomplete.py,python,11,1,0,1,0,0,0,0,none
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/setuptools/_distutils/versionpredicate.py,python,5,1,0,0,1,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/passlib/utils/pbkdf2.py,python,3,1,0,0,1,0,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/psutil/_pslinux.py,python,76,2,0,0,2,0,0,0,none
